timestep Fx0 Fy0 Fz0 Fx1 Fy1 Fz1
20400 27.64244798 -0.23233047 -0.25783496 -25.91778141 1.85395400 -0.85558981
20800 37.19088456 -7.50091736 2.52170611 -29.19884555 1.25433042 1.41309861
21200 27.73051075 -0.04921106 -0.09261856 -27.87794329 0.16679604 -1.13597993
21600 30.07384447 -2.02774642 0.03070764 -23.15168895 -0.43701509 4.45720052
22000 27.66785500 0.15762516 0.07390992 -24.19490800 -1.98976783 -4.11551197
22400 28.06589771 -1.50270476 -0.64141207 -26.65510105 0.79435701 -0.58458767
22800 26.73642555 1.36599114 0.96527964 -27.78463794 -0.72430837 0.56833251
23200 43.12821670 1.38939742 -16.03657187 -23.14265921 -1.46453839 0.55413448
23600 26.46728995 0.91037189 -1.52061439 -27.05407189 -2.35116485 -3.08456943
24000 18.26539403 -2.31653787 -6.95047299 -25.75928177 -3.22637972 -0.13289282
24400 27.73192480 0.00000000 0.00000000 -31.32155587 11.07815436 0.92233407
24800 27.90628726 0.69768562 0.23880871 -27.27986410 -4.21921967 0.83654927
25200 27.00910117 -3.27576083 -1.54238515 -18.17438271 3.62048297 -4.11087746
25600 23.71097877 5.31150165 3.05640214 -29.17803868 0.58810143 -0.78059584
26000 31.11390796 -1.26840350 -3.11153182 -36.16171220 -3.84412084 -13.56593700
26400 26.32102280 -0.64214198 -0.14813230 -24.24543245 0.79523995 -3.34383022
26800 24.15520488 -1.90131335 -5.85305259 -26.60401778 -5.69052134 7.42220699
27200 26.62480799 1.40122524 3.85234320 -24.69598819 -1.93111930 -1.61946222
27600 36.69169172 -12.05354641 7.25954507 -26.90206070 -9.66713732 -0.68766362
28000 26.84958818 -0.86850781 0.08754278 -26.07690928 -1.48884187 6.55012770
28400 28.00707871 0.18274061 0.71501085 -25.95011985 -0.47773505 -1.85935836
28800 17.49556921 -0.19694548 9.63785412 -27.98726393 1.16454417 0.56614495
29200 27.43656905 -2.95976481 0.17521541 -28.02150560 2.98430326 5.00615724
29600 26.54372652 -2.34209911 -0.39349714 -29.14162067 -1.78486581 -1.22175696
30000 32.85334993 -2.84620181 -5.42315425 -25.03804429 -5.61384747 -7.29152015
30400 26.31760045 0.45891491 0.63361144 -26.15362291 -2.43931748 -2.05241830
30800 27.41389924 0.26698459 -0.93896846 -27.73192480 0.00000000 0.00000000
31200 30.01431996 -1.34194854 3.95405950 -29.00512648 1.42137090 4.40594089
31600 28.54799662 1.61642229 2.70402758 -31.14481170 -2.50476006 3.01363427
32000 23.03883085 5.48845023 2.36374233 -27.78157290 -2.83341615 -0.48968477
32400 22.40684820 7.78177362 4.72542860 -29.92524136 1.63106781 -2.13992730
32800 26.70092291 6.84187610 1.57382088 -29.08064201 -0.96436236 0.99377215
33200 28.69164993 1.71023941 1.96606085 -33.11601873 -4.22604990 -5.21720345
33600 26.57674998 -0.69477359 -1.01673430 -12.14035120 -10.60662498 -0.58322584
34000 17.80781569 -0.93608737 -5.38093053 -7.29554004 3.78365977 -7.30205475
34400 27.73192480 0.00000000 0.00000000 -18.41817438 -6.89181173 -0.24163041
34800 25.52865183 1.66021442 -4.32232195 -27.73192480 0.00000000 0.00000000
