    timestep      kinetic_energy  potential_energy kinetic_temperature
       0             56.57572        604.29620           1.30059      
      1000           65.19623        595.73690           1.49876      
      2000           57.25586        603.75398           1.31623      
      3000           55.57704        605.28712           1.27763      
      4000           51.24227        609.86868           1.17798      
      5000           45.54211        615.83393           1.04695      
      6000           57.73466        603.21150           1.32723      
      7000           51.31254        609.58484           1.17960      
      8000           46.62453        614.44406           1.07183      
      9000           54.63066        606.35958           1.25588      
     10000           56.99553        604.08400           1.31024      
     11000           59.64742        601.17984           1.37121      
     12000           47.70722        613.28641           1.09672      
     13000           55.63318        605.09158           1.27892      
     14000           58.71924        602.06409           1.34987      
     15000           58.49800        602.26165           1.34478      
     16000           48.36550        612.85753           1.11185      
     17000           53.26942        607.75694           1.22458      
     18000           51.45935        609.65048           1.18297      
     19000           56.40916        604.52459           1.29676      
     20000           56.18837        604.56953           1.29169      
     21000           44.95635        616.39681           1.03348      
     22000           52.87429        608.22726           1.21550      
     23000           53.58646        607.37722           1.23187      
     24000           50.69930        610.08007           1.16550      
     25000           56.71119        604.02175           1.30371      
     26000           59.80314        601.06235           1.37478      
     27000           56.40345        604.40497           1.29663      
     28000           59.30857        601.55967           1.36342      
     29000           56.26370        604.71693           1.29342      
     30000           56.40274        604.41553           1.29661      
     31000           55.52606        605.23962           1.27646      
     32000           54.29495        606.33627           1.24816      
     33000           61.29709        599.23693           1.40913      
     34000           55.90262        604.83092           1.28512      
     35000           47.02754        614.11299           1.08109      
     36000           53.15192        607.52300           1.22188      
     37000           50.96258        609.93561           1.17155      
     38000           52.71737        608.10432           1.21189      
     39000           55.26062        605.65646           1.27036      
     40000           59.22916        601.67344           1.36159      
     41000           58.99440        601.73536           1.35619      
     42000           43.23257        618.18615           0.99385      
     43000           50.32446        610.86018           1.15688      
     44000           61.94829        598.79701           1.42410      
     45000           52.10140        608.92146           1.19773      
     46000           58.34714        602.45201           1.34131      
     47000           54.61530        606.32292           1.25552      
     48000           59.04147        601.94357           1.35728      
     49000           63.78544        596.84219           1.46633      
     50000           51.91789        608.96885           1.19351      
     51000           51.32311        609.52710           1.17984      
     52000           56.10152        604.46319           1.28969      
     53000           63.63697        597.25081           1.46292      
     54000           51.34391        609.46679           1.18032      
     55000           53.41277        607.66644           1.22788      
     56000           61.42654        599.33429           1.41210      
     57000           56.84599        603.75853           1.30680      
     58000           55.96741        605.05244           1.28661      
     59000           58.50625        602.46507           1.34497      
     60000           55.23809        605.65290           1.26984      
     61000           61.02383        599.63207           1.40285      
     62000           55.94896        604.86922           1.28618      
     63000           50.66146        610.02801           1.16463      
     64000           51.96909        609.05356           1.19469      
     65000           55.49950        605.26448           1.27585      
     66000           56.99080        603.90607           1.31013      
     67000           57.23569        603.64582           1.31576      
     68000           52.99612        607.90580           1.21830      
     69000           52.33247        608.58118           1.20305      
     70000           62.66999        597.94392           1.44069      
     71000           57.18351        603.33372           1.31456      
     72000           55.99240        604.81083           1.28718      
     73000           54.32488        606.54208           1.24885      
     74000           53.31840        607.67402           1.22571      
     75000           54.55109        606.33814           1.25405      
     76000           55.34632        605.43499           1.27233      
     77000           54.93284        605.91245           1.26282      
     78000           54.37769        606.42485           1.25006      
     79000           60.61732        599.98732           1.39350      
     80000           60.20065        600.54548           1.38392      
     81000           61.26890        599.36826           1.40848      
     82000           59.91264        600.98445           1.37730      
     83000           58.86845        601.72135           1.35330      
     84000           56.09847        604.51062           1.28962      
     85000           43.91287        617.22046           1.00949      
     86000           56.89263        604.27298           1.30788      
     87000           45.93082        615.30192           1.05588      
     88000           52.74570        607.98722           1.21254      
     89000           58.81663        602.15002           1.35211      
     90000           57.41864        603.46858           1.31997      
     91000           54.68914        606.29678           1.25722      
     92000           57.40620        603.57464           1.31968      
     93000           53.77533        607.31966           1.23621      
     94000           57.54541        603.34075           1.32288      
     95000           52.90468        608.05046           1.21620      
     96000           47.17531        613.92594           1.08449      
     97000           58.86095        601.96921           1.35313      
     98000           50.19694        610.87834           1.15395      
     99000           57.59747        603.27413           1.32408      
     100000          54.67772        606.30336           1.25696      
     101000          58.60983        602.02943           1.34735      
     102000          56.36817        604.23224           1.29582      
     103000          57.46095        603.45683           1.32094      
     104000          53.95259        607.00082           1.24029      
     105000          59.37759        601.29809           1.36500      
     106000          53.06813        607.72627           1.21996      
     107000          55.26966        605.84125           1.27057      
     108000          52.53602        608.34969           1.20772      
     109000          56.10548        605.10690           1.28978      
     110000          58.51209        602.28798           1.34511      
     111000          55.91426        604.89441           1.28539      
     112000          54.85864        606.03599           1.26112      
     113000          60.21876        600.50965           1.38434      
     114000          55.40527        605.60786           1.27368      
     115000          55.90293        604.92883           1.28512      
     116000          56.22171        604.54766           1.29245      
     117000          53.43660        607.36977           1.22843      
     118000          55.03714        605.78448           1.26522      
     119000          50.53719        610.49550           1.16177      
     120000          53.43475        607.48426           1.22839      
     121000          54.05158        606.76143           1.24257      
     122000          53.54863        607.30615           1.23100      
     123000          58.46950        602.29812           1.34413      
     124000          56.24254        604.45323           1.29293      
     125000          52.62216        608.16682           1.20970      
     126000          48.44507        612.28566           1.11368      
     127000          54.20422        606.42448           1.24607      
     128000          55.65421        604.95440           1.27941      
     129000          60.11893        600.65933           1.38204      
     130000          56.51663        604.24302           1.29923      
     131000          57.16470        603.66511           1.31413      
     132000          59.52233        601.28491           1.36833      
     133000          53.15850        607.55055           1.22203      
     134000          61.34485        599.19014           1.41023      
     135000          53.20665        607.70973           1.22314      
     136000          49.17680        611.70740           1.13050      
     137000          57.42109        603.30069           1.32003      
     138000          51.02733        609.67766           1.17304      
     139000          55.11768        605.62984           1.26707      
     140000          54.14273        606.18999           1.24466      
     141000          59.60794        600.62879           1.37030      
     142000          57.40575        603.03978           1.31967      
     143000          54.17471        606.61264           1.24540      
     144000          57.71136        602.85120           1.32670      
     145000          60.49884        599.99643           1.39078      
     146000          52.53279        608.35980           1.20765      
     147000          54.25806        606.61865           1.24731      
     148000          44.72428        616.29724           1.02814      
     149000          54.56045        606.14534           1.25426      
     150000          49.20446        611.75117           1.13114      
     151000          58.33912        601.96805           1.34113      
     152000          53.25582        607.67621           1.22427      
     153000          58.27130        602.42760           1.33957      
     154000          56.19860        604.28084           1.29192      
     155000          52.99638        607.90778           1.21831      
     156000          55.59903        605.09145           1.27814      
     157000          51.42950        609.51792           1.18229      
     158000          49.07350        611.65291           1.12813      
     159000          52.91836        607.85462           1.21651      
     160000          53.51123        607.47501           1.23014      
     161000          56.79713        603.98752           1.30568      
