    timestep      kinetic_energy  potential_energy kinetic_temperature
     158000          58.61045        602.31134           1.34737      
     159000          49.99512        611.02676           1.14931      
     160000          57.17927        603.78339           1.31447      
     161000          56.61291        604.31166           1.30145      
     162000          47.69069        613.33014           1.09634      
     163000          58.07783        602.91316           1.33512      
     164000          60.03216        600.89841           1.38005      
     165000          55.51398        605.45242           1.27618      
     166000          58.92804        602.01821           1.35467      
     167000          59.48001        601.46144           1.36736      
     168000          57.62061        603.38178           1.32461      
     169000          46.64812        614.34576           1.07237      
     170000          54.76583        606.18263           1.25898      
     171000          51.56282        609.39912           1.18535      
     172000          54.84098        606.16185           1.26071      
     173000          56.14780        604.86176           1.29075      
     174000          58.57706        602.37950           1.34660      
     175000          51.65752        609.32191           1.18753      
     176000          57.42479        603.54266           1.32011      
     177000          59.26260        601.75134           1.36236      
     178000          57.22398        603.78788           1.31549      
     179000          56.42237        604.55411           1.29707      
     180000          61.32303        599.61834           1.40972      
     181000          53.96960        607.01089           1.24068      
     182000          49.02026        611.93115           1.12690      
     183000          50.54679        610.41429           1.16200      
     184000          51.51118        609.53859           1.18417      
     185000          54.33547        606.64848           1.24909      
     186000          56.83246        604.17014           1.30649      
     187000          50.45349        610.58141           1.15985      
     188000          54.79946        606.11814           1.25976      
     189000          62.98321        597.90090           1.44789      
     190000          56.55634        604.38691           1.30015      
     191000          48.87804        612.10699           1.12363      
     192000          53.44549        607.49749           1.22863      
     193000          59.55134        601.34734           1.36900      
     194000          60.13135        600.81616           1.38233      
     195000          51.69096        609.35654           1.18830      
     196000          59.01354        601.89338           1.35663      
     197000          49.82197        611.16489           1.14533      
     198000          52.97789        608.00520           1.21788      
     199000          55.89569        605.03913           1.28496      
     200000          60.41682        600.48971           1.38889      
     201000          56.38263        604.58502           1.29615      
     202000          54.82871        606.12662           1.26043      
     203000          52.12017        608.85677           1.19816      
     204000          57.45488        603.47798           1.32080      
     205000          58.78381        602.17918           1.35135      
     206000          58.57022        602.34138           1.34644      
     207000          51.50149        609.49317           1.18394      
     208000          52.79171        608.16727           1.21360      
     209000          48.13944        612.89923           1.10665      
     210000          47.09239        613.94080           1.08258      
     211000          57.87642        603.01442           1.33049      
     212000          54.63138        606.37294           1.25589      
     213000          59.98527        600.96151           1.37897      
     214000          56.51742        604.43480           1.29925      
     215000          55.45582        605.53042           1.27485      
     216000          56.77286        604.14548           1.30512      
     217000          60.46273        600.40659           1.38995      
     218000          53.89771        607.03487           1.23903      
     219000          46.68288        614.33510           1.07317      
     220000          50.21391        610.76530           1.15434      
     221000          54.26254        606.68708           1.24741      
     222000          54.98190        605.96042           1.26395      
     223000          57.90791        603.07128           1.33122      
     224000          56.99627        603.98032           1.31026      
     225000          58.52548        602.40314           1.34541      
     226000          54.65244        606.32591           1.25638      
     227000          57.91153        603.06807           1.33130      
     228000          54.47470        606.52038           1.25229      
     229000          59.63408        601.33732           1.37090      
     230000          54.22776        606.75208           1.24662      
     231000          56.11845        604.85394           1.29008      
     232000          51.20172        609.77655           1.17705      
     233000          54.08431        606.88060           1.24332      
     234000          54.39664        606.55417           1.25050      
     235000          57.55473        603.40446           1.32310      
     236000          56.01356        604.95135           1.28767      
     237000          56.05520        604.90223           1.28863      
     238000          60.51034        600.36377           1.39104      
     239000          56.57662        604.39779           1.30061      
     240000          49.07013        611.98064           1.12805      
     241000          51.62919        609.27542           1.18688      
     242000          50.35587        610.67349           1.15761      
     243000          53.56515        607.45613           1.23138      
     244000          50.79736        610.19330           1.16776      
     245000          51.64923        609.36957           1.18734      
     246000          55.59598        605.43102           1.27807      
     247000          52.86770        608.10061           1.21535      
     248000          49.69914        611.29234           1.14251      
     249000          56.85920        604.06647           1.30711      
     250000          52.01555        608.92124           1.19576      
     251000          49.94220        611.01036           1.14810      
     252000          57.49699        603.43596           1.32177      
     253000          51.96020        609.00617           1.19449      
     254000          57.62431        603.31140           1.32470      
     255000          56.73385        604.28238           1.30423      
     256000          51.13412        609.82668           1.17550      
     257000          55.73916        605.29698           1.28136      
     258000          57.93877        602.99963           1.33193      
     259000          49.66720        611.34139           1.14177      
     260000          57.90590        603.05100           1.33117      
     261000          54.67842        606.29845           1.25698      
     262000          54.98852        606.01765           1.26410      
     263000          51.30406        609.69428           1.17940      
     264000          51.27136        609.73607           1.17865      
     265000          55.09745        605.79736           1.26661      
     266000          54.71438        606.29566           1.25780      
     267000          57.90610        603.00222           1.33117      
     268000          50.53544        610.45321           1.16173      
     269000          47.43479        613.56236           1.09045      
     270000          44.97303        616.00979           1.03386      
     271000          46.64470        614.37308           1.07229      
     272000          49.69200        611.27626           1.14234      
     273000          56.76332        604.22594           1.30490      
     274000          63.16607        597.73213           1.45209      
     275000          50.85319        610.16530           1.16904      
     276000          57.01006        603.95532           1.31058      
     277000          49.24412        611.79209           1.13205      
     278000          61.84374        599.10957           1.42170      
     279000          57.40681        603.60123           1.31970      
     280000          51.66006        609.35056           1.18759      
     281000          61.08885        599.83120           1.40434      
     282000          54.19084        606.79116           1.24577      
     283000          52.42324        608.56979           1.20513      
     284000          55.29634        605.72006           1.27118      
     285000          54.25996        606.71627           1.24736      
     286000          53.22958        607.71309           1.22367      
     287000          51.56080        609.44101           1.18531      
     288000          50.80430        610.19694           1.16791      
     289000          60.16246        600.80397           1.38305      
     290000          56.27533        604.66903           1.29369      
     291000          55.85883        605.10061           1.28411      
     292000          52.52324        608.43766           1.20743      
     293000          49.20892        611.79955           1.13124      
     294000          58.43771        602.49666           1.34340      
     295000          58.64872        602.32091           1.34825      
     296000          60.67417        600.31643           1.39481      
     297000          61.48392        599.47063           1.41342      
     298000          59.43574        601.53004           1.36634      
     299000          59.14080        601.73116           1.35956      
     300000          50.95752        610.04282           1.17144      
     301000          49.86684        611.16338           1.14636      
     302000          52.71842        608.20355           1.21192      
     303000          58.29199        602.63846           1.34005      
     304000          55.70170        605.26794           1.28050      
     305000          51.35266        609.68735           1.18052      
     306000          59.28937        601.70052           1.36297      
     307000          63.40174        597.54211           1.45751      
     308000          63.04364        597.92244           1.44928      
     309000          57.08477        603.83729           1.31229      
     310000          56.35471        604.57108           1.29551      
     311000          56.09508        604.86455           1.28954      
     312000          53.31338        607.63238           1.22559      
     313000          56.14648        604.86405           1.29072      
     314000          58.89531        602.02288           1.35392      
     315000          57.74053        603.18000           1.32737      
     316000          47.59303        613.42291           1.09409      
     317000          52.05156        608.86606           1.19659      
     318000          58.22503        602.76722           1.33851      
     319000          48.66627        612.39083           1.11876      
     320000          52.59232        608.40980           1.20902      
     321000          55.47183        605.46570           1.27521      
     322000          59.84425        601.10041           1.37573      
     323000          60.50067        600.47073           1.39082      
     324000          53.24469        607.77645           1.22402      
     325000          57.07891        603.85033           1.31216      
     326000          59.06098        601.89460           1.35772      
     327000          53.63306        607.39622           1.23294      
     328000          51.07817        609.97391           1.17421      
     329000          54.95741        606.08911           1.26339      
     330000          49.92574        611.15090           1.14772      
     331000          58.01482        602.99269           1.33367      
     332000          59.43724        601.56028           1.36637      
     333000          51.76155        609.28349           1.18992      
     334000          49.76329        611.26505           1.14398      
     335000          42.97599        618.05972           0.98795      
     336000          50.88926        610.12203           1.16987      
     337000          52.92749        608.10679           1.21672      
     338000          56.73263        604.23407           1.30420      
     339000          51.21350        609.79674           1.17732      
     340000          60.45456        600.47798           1.38976      
     341000          57.35442        603.57487           1.31849      
     342000          55.54770        605.38995           1.27696      
     343000          45.41588        615.64783           1.04404      
     344000          56.01914        604.93986           1.28780      
     345000          55.31778        605.73575           1.27167      
     346000          53.20182        607.83275           1.22303      
     347000          56.35225        604.59611           1.29545      
     348000          54.03251        607.02251           1.24213      
     349000          55.51409        605.51100           1.27619      
     350000          52.59193        608.44210           1.20901      
     351000          55.70977        605.31887           1.28068      
     352000          55.25076        605.79539           1.27013      
     353000          57.81155        603.16669           1.32900      
     354000          55.82743        605.11096           1.28339      
     355000          64.49475        596.46127           1.48264      
     356000          56.17033        604.87051           1.29127      
     357000          60.54798        600.45251           1.39191      
     358000          57.42445        603.56743           1.32010      
     359000          58.96868        602.03475           1.35560      
     360000          53.72362        607.36144           1.23503      
     361000          56.49985        604.55477           1.29885      
     362000          57.92073        603.08714           1.33151      
     363000          63.49488        597.38604           1.45965      
     364000          51.36569        609.68609           1.18082      
     365000          58.99409        601.99453           1.35619      
     366000          52.11426        608.97284           1.19803      
     367000          48.13371        612.89871           1.10652      
     368000          53.64385        607.38256           1.23319      
     369000          56.21416        604.75713           1.29228      
     370000          51.65376        609.41455           1.18744      
     371000          47.86675        613.21695           1.10039      
     372000          48.20520        612.81564           1.10817      
     373000          51.54768        609.50469           1.18500      
     374000          53.45498        607.59182           1.22885      
     375000          54.59197        606.46564           1.25499      
