    timestep      kinetic_energy  potential_energy kinetic_temperature
       0             56.57572        604.29620           1.30059      
      1000           64.78415        596.08847           1.48929      
      2000           63.20979        597.66393           1.45310      
      3000           63.00236        597.87112           1.44833      
      4000           61.19285        599.68202           1.40673      
      5000           61.75153        599.12187           1.41958      
      6000           61.38857        599.48419           1.41123      
      7000           62.28557        598.58727           1.43185      
      8000           54.44263        606.43196           1.25155      
      9000           58.40416        602.46840           1.34262      
     10000           58.31492        602.55981           1.34057      
     11000           53.89794        606.97410           1.23903      
     12000           56.83005        604.04359           1.30644      
     13000           56.50092        604.37107           1.29887      
     14000           51.21261        609.66111           1.17730      
     15000           52.96652        607.90867           1.21762      
     16000           58.18429        602.68590           1.33757      
     17000           59.56473        601.30726           1.36930      
     18000           58.00274        602.86862           1.33340      
     19000           59.48403        601.38967           1.36745      
     20000           57.73325        603.14032           1.32720      
     21000           59.55299        601.31907           1.36903      
     22000           61.38131        599.49129           1.41106      
     23000           55.26690        605.60844           1.27050      
     24000           61.13363        599.73824           1.40537      
     25000           56.71884        604.15534           1.30388      
     26000           57.34901        603.52374           1.31837      
     27000           54.48968        606.38348           1.25264      
     28000           55.54627        605.32883           1.27693      
     29000           52.66309        608.21131           1.21065      
     30000           57.89797        602.97258           1.33099      
     31000           54.55327        606.31956           1.25410      
     32000           55.81219        605.05948           1.28304      
     33000           58.65062        602.22119           1.34829      
     34000           56.06504        604.80791           1.28885      
     35000           56.82922        604.04463           1.30642      
     36000           52.57750        608.29701           1.20868      
     37000           58.25979        602.61389           1.33931      
     38000           59.99291        600.87913           1.37915      
     39000           55.45689        605.41670           1.27487      
     40000           58.06956        602.80145           1.33493      
     41000           57.08082        603.79011           1.31220      
     42000           51.55412        609.31914           1.18515      
     43000           60.57592        600.29559           1.39255      
     44000           53.17326        607.69965           1.22237      
     45000           56.31136        604.55951           1.29451      
     46000           55.55810        605.31530           1.27720      
     47000           61.54152        599.32775           1.41475      
     48000           53.75295        607.11916           1.23570      
     49000           58.07108        602.79999           1.33497      
     50000           49.30020        611.57604           1.13334      
     51000           62.14990        598.71916           1.42873      
     52000           57.91325        602.96041           1.33134      
     53000           61.00824        599.86525           1.40249      
     54000           54.32220        606.55254           1.24879      
     55000           57.07769        603.79649           1.31213      
     56000           47.65569        613.21828           1.09553      
     57000           60.93032        599.94045           1.40070      
     58000           57.46734        603.40522           1.32109      
     59000           57.17609        603.69718           1.31439      
     60000           52.69914        608.17606           1.21147      
     61000           55.35545        605.51923           1.27254      
     62000           56.48853        604.38570           1.29859      
     63000           56.70491        604.16705           1.30356      
     64000           55.72923        605.14267           1.28113      
     65000           55.90835        604.96481           1.28525      
     66000           57.85617        603.01474           1.33003      
     67000           55.89000        604.98331           1.28483      
     68000           53.79129        607.08149           1.23658      
     69000           57.36558        603.50612           1.31875      
     70000           61.06183        599.81027           1.40372      
     71000           56.28762        604.58579           1.29397      
     72000           53.46978        607.40244           1.22919      
     73000           53.58504        607.28888           1.23184      
     74000           56.37493        604.49373           1.29598      
     75000           58.06435        602.80788           1.33481      
     76000           54.94042        605.93362           1.26300      
     77000           60.27774        600.59200           1.38570      
     78000           60.00564        600.86363           1.37944      
     79000           58.85223        602.01951           1.35292      
     80000           57.02320        603.85015           1.31088      
     81000           59.68503        601.18717           1.37207      
     82000           47.03760        613.83826           1.08132      
     83000           50.49730        610.37793           1.16086      
     84000           57.47857        603.39395           1.32135      
     85000           54.15388        606.71621           1.24492      
     86000           56.02631        604.84630           1.28796      
     87000           58.87327        601.99583           1.35341      
     88000           53.69979        607.17373           1.23448      
     89000           51.96308        608.90847           1.19455      
     90000           54.30720        606.56490           1.24844      
     91000           56.97613        603.89624           1.30980      
     92000           54.29076        606.58160           1.24806      
     93000           55.71427        605.15809           1.28079      
     94000           56.94548        603.92667           1.30909      
     95000           56.93250        603.94133           1.30879      
     96000           61.07193        599.80082           1.40395      
     97000           62.53103        598.33717           1.43750      
     98000           55.62783        605.24538           1.27880      
     99000           54.51981        606.35326           1.25333      
     100000          60.03258        600.83678           1.38006      
     101000          56.66255        604.21242           1.30259      
     102000          56.33999        604.52697           1.29517      
     103000          49.22454        611.64917           1.13160      
     104000          52.51932        608.35412           1.20734      
     105000          62.21607        598.65562           1.43025      
     106000          60.46268        600.40774           1.38995      
     107000          55.74137        605.12959           1.28141      
     108000          52.32678        608.54603           1.20291      
     109000          59.84245        601.02625           1.37569      
     110000          57.09514        603.77554           1.31253      
     111000          46.26385        614.61288           1.06354      
     112000          49.99775        610.87560           1.14937      
     113000          56.12711        604.74365           1.29028      
     114000          48.31028        612.56410           1.11058      
     115000          60.29363        600.57688           1.38606      
     116000          53.70767        607.16254           1.23466      
     117000          57.91660        602.95205           1.33142      
     118000          59.29619        601.57058           1.36313      
     119000          59.28316        601.58689           1.36283      
     120000          50.93819        609.93363           1.17099      
     121000          50.45771        610.41635           1.15995      
     122000          48.62708        612.24431           1.11786      
     123000          63.06672        597.79941           1.44981      
     124000          56.55146        604.31902           1.30003      
     125000          51.30064        609.56970           1.17932      
     126000          53.85712        607.01235           1.23809      
     127000          51.50027        609.37192           1.18391      
     128000          46.56212        614.30946           1.07039      
     129000          49.40516        611.46899           1.13575      
     130000          53.19164        607.67926           1.22280      
     131000          47.47057        613.40370           1.09128      
     132000          61.58478        599.28564           1.41574      
     133000          54.96060        605.91028           1.26346      
     134000          57.15976        603.71193           1.31402      
     135000          60.01762        600.85294           1.37972      
     136000          59.40766        601.46105           1.36569      
     137000          55.23466        605.64008           1.26976      
     138000          57.85759        603.01273           1.33006      
     139000          56.80263        604.06721           1.30581      
     140000          58.35266        602.51655           1.34144      
     141000          52.98826        607.88005           1.21812      
     142000          56.76435        604.10716           1.30493      
     143000          57.44382        603.42516           1.32055      
     144000          54.29848        606.57166           1.24824      
     145000          47.13002        613.74453           1.08345      
     146000          54.65325        606.21399           1.25640      
     147000          53.57507        607.29708           1.23161      
     148000          60.38281        600.48797           1.38811      
     149000          56.33552        604.53449           1.29507      
     150000          56.51075        604.36109           1.29910      
     151000          55.16908        605.70370           1.26825      
     152000          54.25131        606.62275           1.24716      
     153000          59.71226        601.16080           1.37270      
     154000          55.28275        605.58950           1.27087      
     155000          58.57880        602.29306           1.34664      
     156000          64.56068        596.30825           1.48415      
     157000          54.58638        606.28754           1.25486      
     158000          58.76957        602.10336           1.35102      
     159000          57.68074        603.19162           1.32599      
     160000          62.82129        598.05073           1.44417      
     161000          57.37479        603.49817           1.31896      
     162000          58.72800        602.14341           1.35007      
     163000          57.28941        603.58228           1.31700      
     164000          59.76726        601.10273           1.37396      
     165000          55.06612        605.80425           1.26589      
     166000          52.44179        608.42814           1.20556      
     167000          52.13689        608.73591           1.19855      
     168000          65.61371        595.25182           1.50836      
     169000          42.11378        618.76266           0.96813      
     170000          52.04614        608.82554           1.19646      
     171000          51.07052        609.79988           1.17403      
     172000          53.20095        607.67041           1.22301      
     173000          49.68240        611.19115           1.14212      
     174000          60.12727        600.74040           1.38224      
     175000          52.42109        608.45229           1.20508      
     176000          52.38880        608.48408           1.20434      
     177000          58.62712        602.24302           1.34775      
     178000          50.63241        610.24086           1.16396      
     179000          55.49958        605.37230           1.27585      
     180000          47.14639        613.72854           1.08382      
     181000          60.69865        600.16929           1.39537      
     182000          53.18014        607.69313           1.22253      
     183000          57.59602        603.27272           1.32405      
     184000          57.38946        603.47945           1.31930      
     185000          48.82119        612.05082           1.12233      
     186000          50.56284        610.30713           1.16236      
     187000          47.24121        613.63356           1.08600      
     188000          56.48488        604.38438           1.29850      
     189000          57.11544        603.75635           1.31300      
     190000          48.71529        612.15972           1.11989      
     191000          57.68334        603.18720           1.32605      
     192000          57.01912        603.85085           1.31078      
     193000          59.17049        601.70159           1.36024      
     194000          51.57026        609.30450           1.18552      
     195000          57.12840        603.74405           1.31330      
     196000          56.21489        604.65852           1.29230      
     197000          60.15127        600.72153           1.38279      
     198000          57.69070        603.18248           1.32622      
     199000          61.66643        599.20704           1.41762      
     200000          58.08318        602.78659           1.33525      
     201000          50.79589        610.08021           1.16772      
     202000          61.95879        598.91275           1.42434      
     203000          64.23499        596.63491           1.47667      
     204000          54.67461        606.19782           1.25689      
     205000          52.89822        607.97420           1.21605      
     206000          57.38826        603.48371           1.31927      
     207000          56.00379        604.86744           1.28744      
     208000          58.08935        602.77905           1.33539      
     209000          56.11138        604.76126           1.28992      
     210000          59.94558        600.92477           1.37806      
     211000          59.35257        601.51955           1.36443      
     212000          54.44924        606.42306           1.25171      
     213000          60.27807        600.59485           1.38570      
     214000          56.16694        604.70635           1.29119      
     215000          57.59055        603.28113           1.32392      
     216000          52.37536        608.49871           1.20403      
     217000          53.55339        607.31848           1.23111      
     218000          55.42370        605.44705           1.27411      
     219000          52.15508        608.71885           1.19897      
     220000          51.51499        609.35922           1.18425      
     221000          58.04135        602.83308           1.33428      
     222000          58.46608        602.40550           1.34405      
     223000          60.65041        600.22016           1.39426      
     224000          59.38766        601.48450           1.36523      
     225000          57.62422        603.24916           1.32469      
     226000          49.65905        611.21614           1.14159      
     227000          56.73194        604.14360           1.30418      
     228000          54.38522        606.48981           1.25024      
     229000          46.31284        614.56162           1.06466      
     230000          50.09037        610.78193           1.15150      
     231000          61.26539        599.60522           1.40840      
     232000          54.26168        606.61101           1.24739      
